time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,distance_from_loc
2023-11-04T21:15:44.660Z,32.7493333,-115.4173333,9.03,1.49,ml,16.0,159.0,0.0611,0.3,ci,ci39707930,2023-11-04T21:19:21.645Z,"8 km SSW of Holtville, CA",earthquake,1.16,1.88,0.178,15.0,automatic,ci,ci,5057.693190965669
2023-11-04T12:54:03.260Z,33.449,-116.577,11.13,1.0,ml,34.0,88.0,0.05021,0.15,ci,ci39707338,2023-11-04T16:33:14.010Z,"15 km SE of Anza, CA",earthquake,0.23,0.4,0.188,24.0,reviewed,ci,ci,5058.285724412393
2023-11-04T16:59:23.350Z,34.0241667,-117.6051667,3.03,1.54,ml,49.0,35.0,0.0411,0.2,ci,ci39707626,2023-11-04T17:10:16.160Z,"4 km SSE of Ontario, CA",earthquake,0.21,0.3,0.168,28.0,automatic,ci,ci,5063.443676454962
2023-11-04T16:39:27.210Z,33.4895,-116.7565,6.12,0.83,ml,29.0,74.0,0.04549,0.18,ci,ci39707594,2023-11-04T16:42:57.136Z,"11 km SW of Anza, CA",earthquake,0.22,0.57,0.125,22.0,automatic,ci,ci,5064.515747502026
2023-11-04T05:21:41.680Z,33.2295,-116.3966667,8.75,0.78,ml,21.0,135.0,0.2123,0.26,ci,ci39707082,2023-11-04T05:25:15.911Z,"4 km SW of Borrego Springs, CA",earthquake,0.6,2.85,0.196,11.0,automatic,ci,ci,5068.080869131763
2023-11-04T07:31:16.249Z,57.8318,-156.2224,124.1,1.5,ml,,,,0.26,ak,ak023e5hvmg1,2023-11-04T14:31:50.951Z,"78 km ENE of Ugashik, Alaska",earthquake,,0.5,,,reviewed,ak,ak,5070.9337017244725
2023-11-04T00:52:21.140Z,33.3848333,-116.8991667,13.83,1.23,ml,43.0,60.0,0.1111,0.21,ci,ci39706882,2023-11-04T01:03:04.430Z,"5 km NW of Palomar Observatory, CA",earthquake,0.26,0.65,0.159,22.0,reviewed,ci,ci,5081.733165025028
2023-11-03T23:31:16.890Z,33.1493333,-116.6725,17.47,1.03,ml,42.0,58.0,0.054,0.15,ci,ci39706834,2023-11-04T00:59:14.609Z,"10 km NW of Julian, CA",earthquake,0.2,0.46,0.183,25.0,reviewed,ci,ci,5090.415470691612
2023-11-04T09:43:38.320Z,35.5113335,-120.8126678,5.27,1.74,md,17.0,66.0,,0.08,nc,nc73955915,2023-11-04T12:40:10.131Z,"10 km NE of Cayucos, CA",earthquake,0.29,1.12,0.14,9.0,automatic,nc,nc,5109.352644826858
2023-11-04T03:20:44.900Z,35.6769981,-121.2473297,8.18,2.5,md,41.0,179.0,,0.19,nc,nc73955790,2023-11-04T06:32:25.044Z,"6 km NW of San Simeon, CA",earthquake,0.55,0.78,0.13,40.0,automatic,nc,nc,5118.942287784848
